route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10,1,2186,"LONG BRANCH",0,"4392",1196
10,1,2187,"LONG BRANCH",0,"4398",1197
10,1,2188,"HOBOKEN",0,"2606",1198
10,1,2189,"HOBOKEN",0,"2608",1199
10,3,2190,"LONG BRANCH",0,"4708",1200
10,3,2191,"LONG BRANCH",0,"4716",1201
10,3,2192,"LONG BRANCH",0,"4724",1202
10,3,2193,"LONG BRANCH",0,"4732",1203
10,3,2194,"LONG BRANCH",0,"4740",1204
10,3,2195,"LONG BRANCH",0,"4748",1205
10,3,2196,"LONG BRANCH",0,"4756",1206
10,3,2197,"LONG BRANCH",0,"4760",1207
10,3,2198,"LONG BRANCH",0,"4768",1208
10,3,2199,"LONG BRANCH",0,"4772",1209
10,3,2200,"LONG BRANCH",0,"4780",1210
10,6,2201,"LONG BRANCH",0,"4708",1211
10,6,2202,"LONG BRANCH",0,"4716",1212
10,6,2203,"LONG BRANCH",0,"4724",1213
10,6,2204,"LONG BRANCH",0,"4732",1214
10,6,2205,"LONG BRANCH",0,"4740",1215
10,6,2206,"LONG BRANCH",0,"4748",1216
10,6,2207,"LONG BRANCH",0,"4756",1217
10,6,2208,"LONG BRANCH",0,"4760",1218
10,6,2209,"LONG BRANCH",0,"4768",1219
10,6,2210,"LONG BRANCH",0,"4772",1220
10,6,2211,"LONG BRANCH",0,"4780",1221
10,1,2212,"LONG BRANCH",1,"2609",1222
10,1,2213,"BAY HEAD",1,"4315",1223
10,1,2214,"BAY HEAD",1,"4321",1224
10,1,2215,"BAY HEAD",1,"4323",1225
10,1,2216,"BAY HEAD",1,"4331",1226
10,1,2217,"BAY HEAD",1,"4335",1227
10,1,2218,"BAY HEAD",1,"4343",1228
10,1,2219,"BAY HEAD",1,"4351",1229
10,1,2220,"BAY HEAD",1,"4355",1230
10,1,2221,"BAY HEAD",1,"4367",1231
10,1,2222,"BAY HEAD",1,"4375",1232
10,1,2223,"BAY HEAD",1,"4379",1233
10,1,2224,"BAY HEAD",1,"4383",1234
10,1,2225,"LONG BRANCH",1,"2605",1235
10,1,2226,"BAY HEAD",1,"4393",1236
10,1,2227,"BAY HEAD",1,"4397",1237
10,3,2228,"BAY HEAD",1,"4721",1238
10,3,2229,"BAY HEAD",1,"4729",1239
10,3,2230,"BAY HEAD",1,"4737",1240
10,3,2231,"BAY HEAD",1,"4745",1241
10,3,2232,"BAY HEAD",1,"4753",1242
10,3,2233,"BAY HEAD",1,"4761",1243
10,3,2234,"BAY HEAD",1,"4765",1244
10,3,2235,"BAY HEAD",1,"4773",1245
10,3,2236,"BAY HEAD",1,"4777",1246
10,4,2237,"BAY HEAD",1,"4785",1247
10,4,2238,"BAY HEAD",1,"4705",1248
10,6,2239,"BAY HEAD",1,"4785",1249
10,6,2240,"BAY HEAD",1,"4705",1250
10,6,2241,"BAY HEAD",1,"4721",1251
10,6,2242,"BAY HEAD",1,"4729",1252
10,6,2243,"BAY HEAD",1,"4737",1253
10,6,2244,"BAY HEAD",1,"4745",1254
10,6,2245,"BAY HEAD",1,"4753",1255
10,6,2246,"BAY HEAD",1,"4761",1256
10,6,2247,"BAY HEAD",1,"4765",1257
10,6,2248,"BAY HEAD",1,"4773",1258
10,6,2249,"BAY HEAD",1,"4777",1259
11,7,2250,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2251,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2252,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2253,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2254,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2255,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2256,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2257,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2258,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2259,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2260,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2261,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2262,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2263,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2264,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2265,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2266,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2267,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2268,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2269,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2270,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2271,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2272,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2273,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2274,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2275,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2276,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2277,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2278,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2279,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2280,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2281,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2282,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2283,"NLR BROAD ST VIA PENN",0,"007NK001",1260
